dsim_gene_id	dsim_symbol	dsim_symbol_clean	dmel_gene_id	dmel_symbol	match_status
FBgn0024396	Dsim\Cyp4d1	Cyp4d1	FBgn0005670	Cyp4d1	matched
FBgn0024778	Dsim\prod	prod	FBgn0014269	prod	matched
FBgn0024781	Dsim\Fbp2	Fbp2	FBgn0000640	Fbp2	matched
FBgn0025027	Dsim\tin	tin	FBgn0004110	tin	matched
FBgn0025029	Dsim\sima	sima	FBgn0266411	sima	matched
FBgn0025030	Dsim\pros	pros	FBgn0004595	pros	matched
FBgn0025031	Dsim\pnt	pnt	FBgn0003118	pnt	matched
FBgn0025032	Dsim\nos	nos			unmatched
FBgn0025033	Dsim\msi	msi	FBgn0011666	msi	matched
FBgn0025034	Dsim\Tpi	Tpi	FBgn0086355	Tpi	matched
FBgn0025035	Dsim\Src64B	Src64B	FBgn0262733	Src64B	matched
FBgn0025036	Dsim\LanB2	LanB2	FBgn0267348	LanB2	matched
FBgn0025037	Dsim\Eh	Eh	FBgn0000564	Eh	matched
FBgn0025038	Dsim\CecB	CecB	FBgn0000278	CecB	matched
FBgn0025039	Dsim\CecA1	CecA1	FBgn0000276	CecA1	matched
FBgn0025042	Dsim\Cdc37	Cdc37	FBgn0011573	Cdc37	matched
FBgn0025043	Dsim\Abd-B	Abd-B	FBgn0000015	Abd-B	matched
FBgn0025409	Dsim\l(1)sc	l(1)sc	FBgn0002561	l(1)sc	matched
FBgn0025411	Dsim\Anp	Anp	FBgn0000094	Anp	matched
FBgn0025651	Dsim\GD24185	GD24185			unmatched
FBgn0027417	Dsim\Su(H)	Su(H)	FBgn0004837	Su(H)	matched
FBgn0027418	Dsim\Acp29AB	Acp29AB	FBgn0015583	Acp29AB	matched
FBgn0027801	Dsim\anon-EST:fe1E9	anon-EST:fe1E9			unmatched
FBgn0027802	Dsim\anon-EST:fe1A3	anon-EST:fe1A3			unmatched
FBgn0027803	Dsim\Desat1	Desat1	FBgn0086687	Desat1	matched
FBgn0027804	Dsim\alpha-Est6	alpha-Est6	FBgn0015574	alpha-Est6	matched
FBgn0027806	Dsim\alpha-Est4	alpha-Est4	FBgn0015572	alpha-Est4	matched
FBgn0028445	Dsim\GD14652	GD14652			unmatched
FBgn0028446	Dsim\Su(P)	Su(P)			unmatched
FBgn0028769	Dsim\Tl	Tl	FBgn0262473	Tl	matched
FBgn0028770	Dsim\Tehao	Tehao	FBgn0026760	Tehao	matched
FBgn0029243	Dsim\sta	sta	FBgn0003517	sta	matched
FBgn0029245	Dsim\Rel	Rel	FBgn0014018	Rel	matched
FBgn0029246	Dsim\Ras85D	Ras85D	FBgn0003205	Ras85D	matched
FBgn0029247	Dsim\Ras64B	Ras64B	FBgn0003206	Ras64B	matched
FBgn0029248	Dsim\R	R			unmatched
FBgn0040413	Dsim\plu	plu	FBgn0003114	plu	matched
FBgn0040418	Dsim\RpL32	RpL32	FBgn0002626	RpL32	matched
FBgn0041268	Dsim\janB	janB	FBgn0001281	janB	matched
FBgn0041270	Dsim\crm	crm	FBgn0000376	crm	matched
FBgn0041655	Dsim\tld	tld	FBgn0003719	tld	matched
FBgn0041656	Dsim\sqh	sqh	FBgn0003514	sqh	matched
FBgn0041657	Dsim\sog	sog	FBgn0003463	sog	matched
FBgn0041658	Dsim\pit	pit	FBgn0266581	pit	matched
FBgn0041659	Dsim\otu	otu	FBgn0003023	otu	matched
FBgn0041661	Dsim\mira	mira	FBgn0021776	mira	matched
FBgn0041662	Dsim\mei-9	mei-9	FBgn0002707	mei-9	matched
FBgn0041663	Dsim\mei-218	mei-218	FBgn0002709	mei-218	matched
FBgn0041664	Dsim\hyd	hyd	FBgn0002431	hyd	matched
FBgn0041665	Dsim\fzo	fzo	FBgn0011596	fzo	matched
FBgn0041666	Dsim\bnb	bnb	FBgn0001090	bnb	matched
FBgn0041667	Dsim\T-cp1	T-cp1			unmatched
FBgn0041668	Dsim\Osbp	Osbp	FBgn0020626	Osbp	matched
FBgn0041669	Dsim\Hsc70-4	Hsc70-4	FBgn0266599	Hsc70-4	matched
FBgn0041670	Dsim\Cen190	Cen190			unmatched
FBgn0041673	Dsim\AP-50	AP-50			unmatched
FBgn0041892	Dsim\Pbprp3	Pbprp3			unmatched
FBgn0041931	Dsim\Acp36DE	Acp36DE	FBgn0011559	Acp36DE	matched
FBgn0042853	Dsim\Hsp70Bb	Hsp70Bb	FBgn0013278	Hsp70Bb	matched
FBgn0042854	Dsim\Hsp70Ba	Hsp70Ba	FBgn0013277	Hsp70Ba	matched
FBgn0042855	Dsim\Hex-t2	Hex-t2			unmatched
FBgn0042856	Dsim\Hex-t1	Hex-t1			unmatched
FBgn0042857	Dsim\EG:EG0007.9	EG:EG0007.9			unmatched
FBgn0042858	Dsim\EG:EG0007.7	EG:EG0007.7			unmatched
FBgn0042859	Dsim\EG:EG0007.10	EG:EG0007.10			unmatched
FBgn0042860	Dsim\BG:DS07721.6	BG:DS07721.6			unmatched
FBgn0042861	Dsim\GD22005	GD22005			unmatched
FBgn0042864	Dsim\BG:BACR44L22.4	BG:BACR44L22.4			unmatched
FBgn0043394	Dsim\mth	mth	FBgn0023000	mth	matched
FBgn0043395	Dsim\fru	fru	FBgn0004652	fru	matched
FBgn0043398	Dsim\Acp76A	Acp76A	FBgn0015586	Acp76A	matched
FBgn0043399	Dsim\Acp63F	Acp63F	FBgn0015585	Acp63F	matched
FBgn0043400	Dsim\Acp62F	Acp62F	FBgn0020509	Acp62F	matched
FBgn0043401	Dsim\Acp53Ea	Acp53Ea	FBgn0015584	Acp53Ea	matched
FBgn0043403	Dsim\Acp32CD	Acp32CD	FBgn0023415	Acp32CD	matched
FBgn0043621	Dsim\ocn	ocn	FBgn0041102	ocn	matched
FBgn0044187	Dsim\kni	kni	FBgn0001320	kni	matched
FBgn0044189	Dsim\en	en	FBgn0000577	en	matched
FBgn0044191	Dsim\cid	cid	FBgn0040477	cid	matched
FBgn0044193	Dsim\Sr-CIII	Sr-CIII	FBgn0020376	Sr-CIII	matched
FBgn0044194	Dsim\Sr-CII	Sr-CII	FBgn0020377	Sr-CII	matched
FBgn0044195	Dsim\Sr-CI	Sr-CI	FBgn0014033	Sr-CI	matched
FBgn0044199	Dsim\Idgf3	Idgf3	FBgn0020414	Idgf3	matched
FBgn0044200	Dsim\Idgf1	Idgf1	FBgn0020416	Idgf1	matched
FBgn0045530	Dsim\lectin-46Ca	lectin-46Ca	FBgn0040093	lectin-46Ca	matched
FBgn0045541	Dsim\Vha68-1	Vha68-1	FBgn0265262	Vha68-1	matched
FBgn0045545	Dsim\Sry-delta	Sry-delta	FBgn0003512	Sry-delta	matched
FBgn0045558	Dsim\RNaseX25	RNaseX25	FBgn0010406	RNaseX25	matched
FBgn0045567	Dsim\Hem	Hem	FBgn0011771	Hem	matched
FBgn0045574	Dsim\GD18020	GD18020			unmatched
FBgn0045586	Dsim\GD23509	GD23509			unmatched
FBgn0045589	Dsim\GD25632	GD25632			unmatched
FBgn0045603	Dsim\GD14875	GD14875			unmatched
FBgn0045604	Dsim\GD12810	GD12810			unmatched
FBgn0045605	Dsim\BG642287	BG642287			unmatched
FBgn0045611	Dsim\trus	trus	FBgn0038055	trus	matched
FBgn0045613	Dsim\GD11280	GD11280			unmatched
FBgn0045627	Dsim\GD20911	GD20911			unmatched
FBgn0045629	Dsim\GD25810	GD25810			unmatched
FBgn0045644	Dsim\GD22660	GD22660			unmatched
FBgn0045657	Dsim\GD25493	GD25493			unmatched
FBgn0045660	Dsim\GD19871	GD19871			unmatched
FBgn0046909	Dsim\rux	rux	FBgn0003302	rux	matched
FBgn0046913	Dsim\Gel	Gel	FBgn0010225	Gel	matched
FBgn0046914	Dsim\CkIIalpha	CkIIalpha	FBgn0264492	CkIIalpha	matched
FBgn0046915	Dsim\CecC	CecC	FBgn0000279	CecC	matched
FBgn0046916	Dsim\AttC	AttC	FBgn0041579	AttC	matched
FBgn0046917	Dsim\AttB	AttB	FBgn0041581	AttB	matched
FBgn0046918	Dsim\AttA	AttA	FBgn0012042	AttA	matched
FBgn0046919	Dsim\Ama	Ama	FBgn0000071	Ama	matched
FBgn0061237	Dsim\plexA	plexA			unmatched
FBgn0061239	Dsim\Sox102F	Sox102F	FBgn0039938	Sox102F	matched
FBgn0061243	Dsim\GD24370	GD24370			unmatched
FBgn0062291	Dsim\Sry-beta	Sry-beta	FBgn0003511	Sry-beta	matched
FBgn0063982	Dsim\phl	phl			unmatched
FBgn0063983	Dsim\ksr	ksr	FBgn0015402	ksr	matched
FBgn0063984	Dsim\drk	drk	FBgn0004638	drk	matched
FBgn0063988	Dsim\GD13352	GD13352			unmatched
FBgn0063990	Dsim\Syx4	Syx4	FBgn0024980	Syx4	matched
FBgn0063991	Dsim\Sos	Sos	FBgn0001965	Sos	matched
FBgn0063992	Dsim\EG:100G7.6	EG:100G7.6			unmatched
FBgn0063993	Dsim\EG:100G10.2	EG:100G10.2			unmatched
FBgn0063994	Dsim\Dsor1	Dsor1	FBgn0010269	Dsor1	matched
FBgn0063995	Dsim\GD16624	GD16624			unmatched
FBgn0063996	Dsim\GD24605	GD24605			unmatched
FBgn0063997	Dsim\BcDNA:GH10711	BcDNA:GH10711			unmatched
FBgn0064354	Dsim\rhi	rhi	FBgn0004400	rhi	matched
FBgn0064355	Dsim\mus209	mus209			unmatched
FBgn0064356	Dsim\crq	crq	FBgn0015924	crq	matched
FBgn0064360	Dsim\RpS18	RpS18	FBgn0010411	RpS18	matched
FBgn0064364	Dsim\Crz	Crz	FBgn0013767	Crz	matched
FBgn0064367	Dsim\GD10957	GD10957			unmatched
FBgn0066160	Dsim\Nup98	Nup98			unmatched
FBgn0066161	Dsim\Mtk	Mtk	FBgn0014865	Mtk	matched
FBgn0066162	Dsim\Hsf	Hsf	FBgn0001222	Hsf	matched
FBgn0066163	Dsim\Hop	Hop			unmatched
FBgn0066164	Dsim\Hmr	Hmr	FBgn0001206	Hmr	matched
FBgn0066165	Dsim\Dro	Dro	FBgn0010388	Dro	matched
FBgn0066166	Dsim\DnaJ-1	DnaJ-1	FBgn0263106	DnaJ-1	matched
FBgn0066167	Dsim\Def	Def	FBgn0010385	Def	matched
FBgn0066168	Dsim\CHIP	CHIP			unmatched
FBgn0066169	Dsim\GD22122	GD22122			unmatched
FBgn0066170	Dsim\GD16651	GD16651			unmatched
FBgn0067157	Dsim\Trap100	Trap100			unmatched
FBgn0067158	Dsim\Os-E	Os-E			unmatched
FBgn0067172	Dsim\CoVa	CoVa			unmatched
FBgn0067177	Dsim\GD23418	GD23418			unmatched
FBgn0067487	Dsim\tub	tub	FBgn0003882	tub	matched
FBgn0067488	Dsim\spz	spz	FBgn0003495	spz	matched
FBgn0067492	Dsim\pho	pho	FBgn0002521	pho	matched
FBgn0067493	Dsim\pan	pan	FBgn0085432	pan	matched
FBgn0067495	Dsim\nec	nec	FBgn0002930	nec	matched
FBgn0067496	Dsim\key	key	FBgn0041205	key	matched
FBgn0067497	Dsim\ird5	ird5			unmatched
FBgn0067498	Dsim\imd	imd	FBgn0013983	imd	matched
FBgn0067500	Dsim\dl	dl	FBgn0260632	dl	matched
FBgn0067503	Dsim\cact	cact	FBgn0000250	cact	matched
FBgn0067504	Dsim\bap	bap	FBgn0004862	bap	matched
FBgn0067505	Dsim\TpnC47D	TpnC47D	FBgn0010423	TpnC47D	matched
FBgn0067508	Dsim\Thor	Thor	FBgn0261560	Thor	matched
FBgn0067509	Dsim\Tep1	Tep1	FBgn0041183	Tep1	matched
FBgn0067510	Dsim\Tak1	Tak1	FBgn0026323	Tak1	matched
FBgn0067513	Dsim\RhoGAP1A	RhoGAP1A	FBgn0025836	RhoGAP1A	matched
FBgn0067514	Dsim\PGRP-SD	PGRP-SD	FBgn0035806	PGRP-SD	matched
FBgn0067515	Dsim\PGRP-SC1b	PGRP-SC1b	FBgn0033327	PGRP-SC1b	matched
FBgn0067516	Dsim\PGRP-SA	PGRP-SA	FBgn0030310	PGRP-SA	matched
FBgn0067517	Dsim\PGRP-LA	PGRP-LA	FBgn0035975	PGRP-LA	matched
FBgn0067519	Dsim\Mvl	Mvl	FBgn0011672	Mvl	matched
FBgn0067520	Dsim\Lectin-galC1	Lectin-galC1	FBgn0016675	Lectin-galC1	matched
FBgn0067521	Dsim\Hsp68	Hsp68	FBgn0001230	Hsp68	matched
FBgn0067523	Dsim\GNBP1	GNBP1	FBgn0040323	GNBP1	matched
FBgn0067524	Dsim\Dredd	Dredd	FBgn0020381	Dredd	matched
FBgn0067525	Dsim\Dif	Dif	FBgn0011274	Dif	matched
FBgn0067526	Dsim\GD16500	GD16500			unmatched
FBgn0067527	Dsim\Sr-CIV	Sr-CIV	FBgn0031547	Sr-CIV	matched
FBgn0067529	Dsim\GD16488	GD16488			unmatched
FBgn0067531	Dsim\GD18001	GD18001			unmatched
FBgn0067532	Dsim\18w	18w	FBgn0287775	18w	matched
FBgn0067533	Dsim\kappaB-Ras	kappaB-Ras	FBgn0040513	kappaB-Ras	matched
FBgn0068582	Dsim\wapl	wapl	FBgn0004655	wapl	matched
FBgn0068584	Dsim\sws	sws	FBgn0003656	sws	matched
FBgn0068585	Dsim\shi	shi	FBgn0003392	shi	matched
FBgn0068586	Dsim\sbr	sbr	FBgn0003321	sbr	matched
FBgn0068590	Dsim\mmd	mmd	FBgn0259110	mmd	matched
FBgn0068592	Dsim\hop	hop	FBgn0004864	hop	matched
FBgn0068599	Dsim\GD17182	GD17182			unmatched
FBgn0068607	Dsim\GD17138	GD17138			unmatched
FBgn0068611	Dsim\GD15892	GD15892			unmatched
FBgn0068618	Dsim\GD16017	GD16017			unmatched
FBgn0068632	Dsim\GD16657	GD16657			unmatched
FBgn0068641	Dsim\Tbh	Tbh	FBgn0010329	Tbh	matched
FBgn0068643	Dsim\Ptp10D	Ptp10D	FBgn0004370	Ptp10D	matched
FBgn0068644	Dsim\GD16842	GD16842			unmatched
FBgn0068645	Dsim\PGRP-SC2	PGRP-SC2	FBgn0043575	PGRP-SC2	matched
FBgn0068647	Dsim\PGRP-SB2	PGRP-SB2	FBgn0043577	PGRP-SB2	matched
FBgn0068648	Dsim\PGRP-SB1	PGRP-SB1	FBgn0043578	PGRP-SB1	matched
FBgn0068651	Dsim\Ntf-2r	Ntf-2r	FBgn0032680	Ntf-2r	matched
FBgn0068654	Dsim\Mct1	Mct1	FBgn0023549	Mct1	matched
FBgn0068655	Dsim\Lim1	Lim1	FBgn0026411	Lim1	matched
FBgn0068656	Dsim\Imp	Imp	FBgn0285926	Imp	matched
FBgn0068659	Dsim\HDAC6	HDAC6	FBgn0026428	HDAC6	matched
FBgn0068661	Dsim\Est-P	Est-P	FBgn0000594	Est-P	matched
FBgn0068662	Dsim\EG:30B8.6	EG:30B8.6			unmatched
FBgn0068665	Dsim\Cyp6a26	Cyp6a26			unmatched
FBgn0068666	Dsim\Cyp4g15	Cyp4g15	FBgn0030304	Cyp4g15	matched
FBgn0068668	Dsim\Crag	Crag	FBgn0025864	Crag	matched
FBgn0068670	Dsim\GD15785	GD15785			unmatched
FBgn0068671	Dsim\GD15405	GD15405			unmatched
FBgn0068672	Dsim\GD17377	GD17377			unmatched
FBgn0068673	Dsim\GD17454	GD17454			unmatched
FBgn0068674	Dsim\GD17193	GD17193			unmatched
FBgn0068685	Dsim\GD16604	GD16604			unmatched
FBgn0068686	Dsim\GD24700	GD24700			unmatched
FBgn0068687	Dsim\GD16650	GD16650			unmatched
FBgn0068689	Dsim\GD17083	GD17083			unmatched
FBgn0068694	Dsim\GD16870	GD16870			unmatched
FBgn0068696	Dsim\GD24583	GD24583			unmatched
FBgn0068697	Dsim\GD17174	GD17174			unmatched
FBgn0068698	Dsim\GD15836	GD15836			unmatched
FBgn0068703	Dsim\BCL7-like	BCL7-like	FBgn0026149	BCL7-like	matched
FBgn0068704	Dsim\Axn	Axn	FBgn0026597	Axn	matched
FBgn0069472	Dsim\unc-13	unc-13	FBgn0025726	unc-13	matched
FBgn0069480	Dsim\ort	ort	FBgn0003011	ort	matched
FBgn0069483	Dsim\ms(3)K81	ms(3)K81	FBgn0002838	ms(3)K81	matched
FBgn0069486	Dsim\lectin-30A	lectin-30A	FBgn0040097	lectin-30A	matched
FBgn0069487	Dsim\lectin-29Ca	lectin-29Ca	FBgn0040098	lectin-29Ca	matched
FBgn0069498	Dsim\Rad23	Rad23	FBgn0026777	Rad23	matched
FBgn0069499	Dsim\Pros28.1B	Pros28.1B			unmatched
FBgn0069500	Dsim\Pros28.1A	Pros28.1A			unmatched
FBgn0069504	Dsim\Mst98Cb	Mst98Cb	FBgn0004171	Mst98Cb	matched
FBgn0069515	Dsim\GD18296	GD18296			unmatched
FBgn0069516	Dsim\GD18777	GD18777			unmatched
FBgn0069519	Dsim\Acyp	Acyp	FBgn0025115	Acyp	matched
FBgn0069520	Dsim\Acp53C14c	Acp53C14c	FBgn0053530	Acp53C14c	matched
FBgn0069521	Dsim\Acp53C14b	Acp53C14b	FBgn0034153	Acp53C14b	matched
FBgn0069522	Dsim\Acp53C14a	Acp53C14a	FBgn0034152	Acp53C14a	matched
FBgn0082400	Dsim\pav	pav	FBgn0011692	pav	matched
FBgn0082402	Dsim\mitch	mitch			unmatched
FBgn0082717	Dsim\ppk6	ppk6	FBgn0034489	ppk6	matched
FBgn0082719	Dsim\m6	m6			unmatched
FBgn0082720	Dsim\m4	m4			unmatched
FBgn0082722	Dsim\m1	m1			unmatched
FBgn0082723	Dsim\malpha	malpha			unmatched
FBgn0082734	Dsim\HLHm7	HLHm7			unmatched
FBgn0082735	Dsim\HLHm5	HLHm5			unmatched
FBgn0082736	Dsim\HLHm3	HLHm3			unmatched
FBgn0082737	Dsim\HLHmgamma	HLHmgamma			unmatched
FBgn0082738	Dsim\HLHmdelta	HLHmdelta			unmatched
FBgn0082739	Dsim\HLHmbeta	HLHmbeta			unmatched
FBgn0082740	Dsim\E(spl)	E(spl)			unmatched
FBgn0082742	Dsim\CkIIbeta2	CkIIbeta2	FBgn0026136	CkIIbeta2	matched
FBgn0082743	Dsim\GD25294	GD25294			unmatched
FBgn0082745	Dsim\GD25287	GD25287			unmatched
FBgn0082746	Dsim\GD25285	GD25285			unmatched
FBgn0082750	Dsim\GD25286	GD25286			unmatched
FBgn0082752	Dsim\GD25297	GD25297			unmatched
FBgn0082753	Dsim\GD11503	GD11503			unmatched
FBgn0082754	Dsim\GD25296	GD25296			unmatched
FBgn0082755	Dsim\GD11497	GD11497			unmatched
FBgn0082756	Dsim\GD11499	GD11499			unmatched
FBgn0082757	Dsim\GD11498	GD11498			unmatched
FBgn0082758	Dsim\GD25290	GD25290			unmatched
FBgn0082760	Dsim\Ate1	Ate1	FBgn0025720	Ate1	matched
FBgn0083414	Dsim\tok	tok	FBgn0004885	tok	matched
FBgn0083415	Dsim\rut	rut			unmatched
FBgn0083416	Dsim\mRpS11	mRpS11	FBgn0038474	mRpS11	matched
FBgn0083417	Dsim\lic	lic	FBgn0261524	lic	matched
FBgn0083419	Dsim\chic	chic	FBgn0000308	chic	matched
FBgn0083425	Dsim\Sap-r	Sap-r	FBgn0000416	Sap-r	matched
FBgn0083426	Dsim\Rlb1	Rlb1	FBgn0014022	Rlb1	matched
FBgn0083428	Dsim\Hf	Hf	FBgn0014000	Hf	matched
FBgn0083429	Dsim\Obp57e	Obp57e	FBgn0050145	Obp57e	matched
FBgn0083431	Dsim\ImpL2	ImpL2	FBgn0001257	ImpL2	matched
FBgn0083432	Dsim\Hrb27C	Hrb27C	FBgn0004838	Hrb27C	matched
FBgn0083433	Dsim\Hmgs	Hmgs	FBgn0010611	Hmgs	matched
FBgn0083434	Dsim\Hk	Hk	FBgn0263220	Hk	matched
FBgn0083435	Dsim\Fas2	Fas2	FBgn0000635	Fas2	matched
FBgn0083436	Dsim\ERp60	ERp60	FBgn0033663	ERp60	matched
FBgn0083437	Dsim\Cp16	Cp16	FBgn0000356	Cp16	matched
FBgn0083440	Dsim\GD17354	GD17354			unmatched
FBgn0083441	Dsim\GD14730	GD14730			unmatched
FBgn0083442	Dsim\GD22186	GD22186			unmatched
FBgn0083446	Dsim\GD16059	GD16059			unmatched
FBgn0083452	Dsim\GD14244	GD14244			unmatched
FBgn0083453	Dsim\GD21644	GD21644			unmatched
FBgn0083454	Dsim\GD18362	GD18362			unmatched
FBgn0083455	Dsim\GD20903	GD20903			unmatched
FBgn0083456	Dsim\GD19887	GD19887			unmatched
FBgn0083458	Dsim\GD13807	GD13807			unmatched
FBgn0083459	Dsim\GD22299	GD22299			unmatched
FBgn0083461	Dsim\GD10684	GD10684			unmatched
FBgn0083463	Dsim\GD18799	GD18799			unmatched
FBgn0083464	Dsim\GD21558	GD21558			unmatched
FBgn0083467	Dsim\GD17470	GD17470			unmatched
FBgn0083468	Dsim\GD21426	GD21426			unmatched
FBgn0083469	Dsim\CAH1	CAH1	FBgn0027844	CAH1	matched
FBgn0083470	Dsim\Atg9	Atg9	FBgn0034110	Atg9	matched
FBgn0083471	Dsim\Atg5	Atg5	FBgn0029943	Atg5	matched
FBgn0083472	Dsim\AlstR	AlstR			unmatched
FBgn0083473	Dsim\Acp54A1	Acp54A1	FBgn0083936	Acp54A1	matched
FBgn0083474	Dsim\Acp24A4	Acp24A4	FBgn0051779	Acp24A4	matched
FBgn0084053	Dsim\GD21428	GD21428			unmatched
FBgn0084063	Dsim\GD16908	GD16908			unmatched
FBgn0084073	Dsim\GD11609	GD11609			unmatched
FBgn0084076	Dsim\GD19598	GD19598			unmatched
FBgn0084078	Dsim\GD22095	GD22095			unmatched
FBgn0084090	Dsim\dro6	dro6			unmatched
FBgn0084108	Dsim\Mcm3	Mcm3	FBgn0284442	Mcm3	matched
FBgn0084111	Dsim\GD25724	GD25724			unmatched
FBgn0084138	Dsim\GD14532	GD14532			unmatched
FBgn0084168	Dsim\GD23074	GD23074			unmatched
FBgn0084221	Dsim\GD13707	GD13707			unmatched
FBgn0084228	Dsim\r2d2	r2d2	FBgn0031951	r2d2	matched
FBgn0084229	Dsim\beta4GalT7	beta4GalT7	FBgn0039258	beta4GalT7	matched
FBgn0084247	Dsim\dro3	dro3			unmatched
FBgn0084321	Dsim\Rh50	Rh50	FBgn0028699	Rh50	matched
FBgn0084332	Dsim\Catsup	Catsup	FBgn0002022	Catsup	matched
FBgn0084335	Dsim\GD19270	GD19270			unmatched
FBgn0084346	Dsim\dro1	dro1			unmatched
FBgn0084420	Dsim\dro2	dro2			unmatched
FBgn0084450	Dsim\aly	aly	FBgn0004372	aly	matched
FBgn0084451	Dsim\AGO2	AGO2	FBgn0087035	AGO2	matched
FBgn0084466	Dsim\bam	bam	FBgn0000158	bam	matched
FBgn0084471	Dsim\GD13634	GD13634			unmatched
FBgn0084524	Dsim\GD24453	GD24453			unmatched
FBgn0084546	Dsim\AGO1	AGO1	FBgn0262739	AGO1	matched
FBgn0084576	Dsim\Dcr-2	Dcr-2	FBgn0034246	Dcr-2	matched
FBgn0084596	Dsim\dj	dj	FBgn0019828	dj	matched
FBgn0084620	Dsim\GD10785	GD10785			unmatched
